"city","population","violent","murder","rape","robbery","Aggravatedassault","Propertycrime","burglary","Larceny-theft","Motorvehicletheft","arson"
"Tehachapi","12,210","49","1","4","8","36","223","57","130","36","4"
"Temecula","115,220","117","1","5","38","73","2,614","353","2,011","250","2"
"Temple City","36,500","54","2","3","20","29","552","258","257","37","0"
"Thousand Oaks","129,240","172","2","44","35","91","1,687","269","1,305","113","12"
"Tiburon","9,210","3","0","0","1","2","86","16","70","0","0"
"Torrance","147,482","267","0","36","116","115","3,206","557","2,213","436","12"
"Tracy","90,263","193","3","27","77","86","2,179","201","1,616","362","11"
"Truckee","16,429","19","0","4","0","15","165","40","98","27","4"
"Tulare","63,349","254","2","22","66","164","1,703","284","1,008","411","15"
"Tulelake","988","2","0","0","0","2","1","1","0","0","0"
"Turlock","73,488","447","4","24","142","277","2,296","382","1,471","443","35"
"Tustin","81,246","132","3","11","47","71","1,949","288","1,484","177","9"
"Twentynine Palms","26,210","40","2","2","6","30","326","142","139","45","8"
"Ukiah","15,859","121","0","14","20","87","335","59","234","42","13"
"Union City","76,311","255","1","15","83","156","1,686","216","1,114","356","4"
"Upland","77,154","232","7","25","101","99","2,071","586","1,194","291","6"
"Vacaville","99,293","198","1","20","56","121","2,108","186","1,742","180","17"
"Vallejo","122,174","1,048","15","93","390","550","4,597","2,445","1,181","971","60"
"Ventura","110,006","460","2","63","111","284","3,638","585","2,717","336","17"
"Vernon","113","35","0","0","20","15","424","60","229","135","5"
"Victorville","123,284","862","14","54","267","527","3,318","830","1,839","649","42"
"Villa Park","5,933","2","0","0","0","2","74","35","35","4","1"
"Visalia","132,143","457","9","81","144","223","4,396","839","2,953","604","16"
"Vista","103,004","370","4","38","104","224","1,494","310","889","295","9"
"Walnut","30,189","43","0","12","8","23","485","232","221","32","2"
"Walnut Creek","69,953","105","1","2","39","63","2,304","243","1,871","190","2"
"Waterford","8,928","16","0","1","2","13","120","26","55","39","0"
"Watsonville","54,226","298","1","41","69","187","1,711","251","995","465","14"
"Weed","2,605","23","0","0","0","23","95","23","62","10","0"
"West Covina","108,128","275","0","31","144","100","2,733","502","1,821","410","10"
"West Hollywood","37,093","254","1","29","122","102","1,705","234","1,367","104","2"
"Westlake Village","8,476","14","0","1","4","9","208","48","155","5","0"
"Westminster","91,863","281","4","23","132","122","2,825","443","1,987","395","14"
"Westmorland","2,276","5","0","0","0","5","21","9","10","2","0"
"West Sacramento","53,703","199","7","19","79","94","1,138","201","756","181","21"
"Wheatland","3,831","6","0","0","2","4","37","10","22","5","1"
"Whittier","87,141","300","5","15","137","143","2,507","420","1,774","313","6"
"Wildomar","36,683","56","0","2","15","39","683","128","430","125","1"
"Williams","5,201","11","0","3","5","3","75","34","32","9","2"
"Willits","4,870","57","0","4","5","48","61","11","25","25","0"
"Windsor","27,679","61","0","15","6","40","279","40","219","20","2"
"Winters","7,235","14","0","0","1","13","131","26","93","12","2"
"Woodlake","7,678","27","1","1","2","23","122","20","86","16","4"
"Woodland","59,676","187","0","21","38","128","1,861","326","1,306","229","35"
"Yorba Linda","68,889","45","0","9","5","31","714","185","482","47","5"
"Yountville","3,020","1","0","0","0","1","42","7","33","2","0"
"Yreka","7,564","51","1","5","2","43","213","57","113","43","1"
"Yuba City","67,042","255","0","23","82","150","2,207","380","1,448","379","15"
"Yucaipa","53,614","74","0","12","23","39","927","202","590","135","5"
"Yucca Valley","21,806","65","0","9","18","38","444","148","244","52","2"
